COUNTRY	Count	Percent
USA	52573	46.317
ENGLAND	12270	10.810
CANADA	9396	8.278
AUSTRALIA	8124	7.157
GERMANY	5390	4.749
FRANCE	5343	4.707
SWEDEN	4603	4.055
SPAIN	4275	3.766
NETHERLANDS	3583	3.157
SCOTLAND	3548	3.126
SWITZERLAND	3005	2.647
FINLAND	2636	2.322
BRAZIL	2339	2.061
JAPAN	2296	2.023
PEOPLES R CHINA	2184	1.924
SOUTH AFRICA	2111	1.860
NEW ZEALAND	2031	1.789
NORWAY	1876	1.653
ITALY	1793	1.580
MEXICO	1694	1.492
BELGIUM	1406	1.239
DENMARK	1390	1.225
ARGENTINA	1085	0.956
ISRAEL	972	0.856
WALES	959	0.845
INDIA	843	0.743
AUSTRIA	811	0.714
PANAMA	742	0.654
CZECH REPUBLIC	708	0.624
PORTUGAL	671	0.591
CHILE	657	0.579
POLAND	607	0.535
IRELAND	386	0.340
MALAYSIA	381	0.336
ESTONIA	378	0.333
KENYA	346	0.305
GREECE	339	0.299
INDONESIA	337	0.297
RUSSIA	334	0.294
COSTA RICA	334	0.294
FED REP GER	280	0.247
HUNGARY	278	0.245
COLOMBIA	276	0.243
VENEZUELA	271	0.239
TAIWAN	247	0.218
NORTH IRELAND	204	0.180
SINGAPORE	202	0.178
SOUTH KOREA	195	0.172
TANZANIA	179	0.158
PERU	177	0.156
ECUADOR	177	0.156
BOLIVIA	176	0.155
PHILIPPINES	172	0.152
THAILAND	171	0.151
ZIMBABWE	134	0.118
NIGERIA	125	0.110
ETHIOPIA	102	0.090
UGANDA	100	0.088
TURKEY	96	0.085
ICELAND	95	0.084
SLOVAKIA	93	0.082
SLOVENIA	90	0.079
CAMEROON	84	0.074
SRI LANKA	82	0.072
IRAN	80	0.070
MADAGASCAR	78	0.069
HONG KONG	73	0.064
URUGUAY	70	0.062
NAMIBIA	70	0.062
FRENCH GUIANA	70	0.062
GHANA	69	0.061
EGYPT	64	0.056
ROMANIA	63	0.056
